flight_id,flight_date,airline,flight_number,origin_airport,destination_airport,distance_miles,aircraft_type,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_minutes,arrival_delay_minutes,delay_reason,cancelled,cancellation_reason,diverted,seats_available,passengers,ticket_price_avg,revenue,fuel_cost,weather_condition,customer_satisfaction_score,had_valid_delay_data,survey_responded,is_delay_outlier,delay_category,route,month,month_name,day_of_week,is_weekend,quarter,load_factor,rasm,operating_margin,is_on_time
FL105266,2025-01-20,Bluewing Airlines,BL943,JFK,ATL,759.0,Boeing 737,2025-01-20 20:00:00,2025-01-20 20:09:00,2025-01-20 21:53:00,2025-01-20 22:08:00,9.0,15.0,Late Aircraft Arrival,False,Not Cancelled,False,220,195,226.51,44169.45,10010.81,Rain,,True,False,False,Minor Delay,JFK-ATL,1,January,Monday,False,1,0.886,0.2645,34158.64,True
FL109478,2025-06-30,Falcon Jet,FA497,LAX,DFW,1232.0,Boeing 737,2025-06-30 21:45:00,2025-06-30 21:45:00,2025-07-01 00:31:00,2025-07-01 00:34:00,0.0,3.0,No Delay,False,Not Cancelled,False,140,87,356.82,31043.34,11766.88,Clear,,True,False,False,On-Time / Early,LAX-DFW,6,June,Monday,False,2,0.621,0.18,19276.46,True
FL100922,2025-03-14,Summit Airlines,SU958,MIA,LAX,2338.0,Airbus A320,2025-03-14 16:15:00,2025-03-14 16:10:00,2025-03-14 21:34:00,2025-03-14 21:24:00,-5.0,-10.0,No Delay,False,Not Cancelled,False,250,217,419.66,91066.22,28486.31,Clear,2.0,True,True,False,On-Time / Early,MIA-LAX,3,March,Friday,False,1,0.868,0.1558,62579.91,True
FL101726,2025-07-01,Coastal Express,CO290,BOS,DEN,1749.0,Airbus A320,2025-07-01 18:45:00,2025-07-01 19:04:00,2025-07-01 22:28:00,2025-07-01 22:37:00,19.0,9.0,Air Traffic Control,False,Not Cancelled,False,160,109,321.54,35047.86,18900.1,Rain,1.0,True,True,True,Moderate Delay,BOS-DEN,7,July,Tuesday,False,3,0.681,0.1252,16147.760000000002,False
FL110540,2025-08-10,Bluewing Airlines,BL428,ORD,SEA,1716.0,Boeing 787,2025-08-10 20:15:00,2025-08-10 20:17:00,2025-08-10 23:54:00,2025-08-11 00:01:00,2.0,7.0,No Delay,False,Not Cancelled,False,140,131,439.4,57561.4,16787.6,Clear,2.0,True,True,False,Minor Delay,ORD-SEA,8,August,Sunday,True,3,0.936,0.2396,40773.8,True
FL110285,2025-09-20,Summit Airlines,SU852,DFW,JFK,1389.0,Boeing 737,2025-09-20 21:30:00,2025-09-20 21:25:00,2025-09-21 00:30:00,2025-09-21 00:23:00,-5.0,-7.0,No Delay,False,Not Cancelled,False,160,160,358.07,57291.2,16885.44,Rain,2.0,True,True,False,On-Time / Early,DFW-JFK,9,September,Saturday,True,3,1.0,0.2578,40405.759999999995,True
FL111710,2025-02-24,Horizon Airways,HO950,ATL,BOS,945.0,Airbus A320,2025-02-24 09:45:00,2025-02-24 09:47:00,2025-02-24 11:46:00,2025-02-24 11:50:00,2.0,4.0,No Delay,False,Not Cancelled,False,160,125,255.72,31965.0,9090.88,Rain,,True,False,False,Minor Delay,ATL-BOS,2,February,Monday,False,1,0.781,0.2114,22874.120000000003,True
FL102042,2025-11-25,Falcon Jet,FA964,MIA,ORD,1199.0,Boeing 737,2025-11-25 06:30:00,2025-11-25 06:42:00,2025-11-25 09:06:00,2025-11-25 09:14:00,12.0,8.0,Late Aircraft Arrival,False,Not Cancelled,False,250,174,377.05,65606.7,14333.38,Snow,5.0,True,True,True,Minor Delay,MIA-ORD,11,November,Tuesday,False,4,0.696,0.2189,51273.32,True
FL100994,2025-06-02,Bluewing Airlines,BL947,JFK,LAX,2470.0,Airbus A321,2025-06-02 18:15:00,2025-06-02 18:24:00,2025-06-02 23:43:00,2025-06-03 00:01:00,9.0,18.0,Weather,False,Not Cancelled,False,180,142,451.09,64054.78,33182.21,Clear,,True,False,False,Minor Delay,JFK-LAX,6,June,Monday,False,2,0.789,0.1441,30872.57,True
FL110803,2025-12-13,Bluewing Airlines,BL107,LAX,JFK,2470.0,Airbus A320,2025-12-13 15:45:00,2025-12-13 15:45:00,2025-12-13 21:22:00,2025-12-13 21:31:00,0.0,9.0,No Delay,False,Not Cancelled,False,180,119,499.49,59439.31,32093.24,Rain,2.0,True,True,False,On-Time / Early,LAX-JFK,12,December,Saturday,True,4,0.661,0.1337,27346.069999999996,True
FL103270,2025-06-05,Summit Airlines,SU947,DEN,LAX,861.0,Airbus A320,2025-06-05 11:30:00,2025-06-05 11:52:00,2025-06-05 13:15:00,2025-06-05 13:42:00,22.0,27.0,Airline Operations,False,Not Cancelled,False,250,164,366.31,60074.84,8564.05,Rain,4.0,True,True,True,Moderate Delay,DEN-LAX,6,June,Thursday,False,2,0.656,0.2791,51510.78999999999,False
FL101861,2025-04-25,Coastal Express,CO344,LAX,DEN,861.0,Airbus A321,2025-04-25 22:00:00,2025-04-25 21:57:00,2025-04-25 23:50:00,2025-04-25 23:54:00,-3.0,4.0,No Delay,False,Not Cancelled,False,220,179,269.06,48161.74,9425.21,Clear,4.0,True,True,False,On-Time / Early,LAX-DEN,4,April,Friday,False,2,0.814,0.2543,38736.53,True
FL110212,2025-08-17,Skylink Air,SK259,LAX,JFK,2470.0,Boeing 787,2025-08-17 16:00:00,2025-08-17 15:57:00,2025-08-17 21:20:00,2025-08-17 21:10:00,-3.0,-10.0,No Delay,False,Not Cancelled,False,140,104,498.33,51826.32,28303.71,Clear,2.0,True,True,False,On-Time / Early,LAX-JFK,8,August,Sunday,True,3,0.743,0.1499,23522.61,True
FL105772,2025-11-03,Skylink Air,SK172,ORD,BOS,864.0,Embraer E190,2025-11-03 19:45:00,2025-11-03 19:45:00,2025-11-03 21:52:00,2025-11-03 21:59:00,0.0,7.0,No Delay,False,Not Cancelled,False,180,154,281.95,43420.3,10253.01,Clear,4.0,True,True,False,On-Time / Early,ORD-BOS,11,November,Monday,False,4,0.856,0.2792,33167.29,True
FL108050,2025-08-29,Falcon Jet,FA928,MIA,DEN,1708.0,Boeing 737,2025-08-29 06:30:00,2025-08-29 06:30:00,2025-08-29 10:19:00,2025-08-29 10:25:00,0.0,6.0,No Delay,False,Not Cancelled,False,180,127,332.57,42236.39,17307.95,Clear,5.0,True,True,False,On-Time / Early,MIA-DEN,8,August,Friday,False,3,0.706,0.1374,24928.44,True
FL103869,2025-03-24,Summit Airlines,SU474,SEA,DEN,1022.0,Boeing 737,2025-03-24 14:30:00,2025-03-24 15:05:00,2025-03-24 16:56:00,2025-03-24 17:29:00,35.0,33.0,Late Aircraft Arrival,False,Not Cancelled,False,220,199,361.1,71858.9,13241.5,Snow,2.0,True,True,True,Moderate Delay,SEA-DEN,3,March,Monday,False,1,0.905,0.3196,58617.399999999994,False
FL109894,2025-04-24,Skylink Air,SK888,MIA,DFW,1120.0,Airbus A321,2025-04-24 16:30:00,2025-04-24 16:32:00,2025-04-24 19:05:00,2025-04-24 19:14:00,2.0,9.0,No Delay,False,Not Cancelled,False,220,195,278.64,54334.8,13133.0,Rain,5.0,True,True,False,Minor Delay,MIA-DFW,4,April,Thursday,False,2,0.886,0.2205,41201.8,True
FL104524,2025-12-20,Coastal Express,CO277,MIA,LAX,2338.0,Embraer E190,2025-12-20 09:15:00,2025-12-20 09:17:00,2025-12-20 14:40:00,2025-12-20 14:33:00,2.0,-7.0,No Delay,False,Not Cancelled,False,250,200,459.14,91828.0,24032.61,Clear,1.0,True,True,False,Minor Delay,MIA-LAX,12,December,Saturday,True,4,0.8,0.1571,67795.39,True
FL111422,2025-04-26,Horizon Airways,HO220,ATL,DFW,730.0,Boeing 787,2025-04-26 11:30:00,2025-04-26 11:30:00,2025-04-26 13:00:00,2025-04-26 12:53:00,0.0,-7.0,No Delay,False,Not Cancelled,False,160,139,269.67,37484.13,8492.79,Clear,4.0,True,True,False,On-Time / Early,ATL-DFW,4,April,Saturday,True,2,0.869,0.3209,28991.339999999997,True
FL107018,2025-09-08,Skylink Air,SK190,ORD,MIA,1199.0,Boeing 737,2025-09-08 17:00:00,2025-09-08 17:00:00,2025-09-08 19:31:00,2025-09-08 19:40:00,0.0,9.0,No Delay,False,Not Cancelled,False,250,193,377.95,72944.35,11542.2,Clear,2.0,True,True,False,On-Time / Early,ORD-MIA,9,September,Monday,False,3,0.772,0.2434,61402.15000000001,True
FL105815,2025-04-14,Skylink Air,SK562,MIA,LAX,2338.0,Embraer E190,2025-04-14 16:45:00,2025-04-14 16:47:00,2025-04-14 22:10:00,2025-04-14 22:13:00,2.0,3.0,No Delay,False,Not Cancelled,False,160,99,349.53,34603.47,27025.37,Clear,,True,False,False,Minor Delay,MIA-LAX,4,April,Monday,False,2,0.619,0.0925,7578.100000000002,True
FL111744,2025-05-10,Skylink Air,SK704,ORD,MIA,1199.0,Embraer E190,2025-05-10 09:45:00,2025-05-10 09:40:00,2025-05-10 12:32:00,2025-05-10 12:28:00,-5.0,-4.0,No Delay,False,Not Cancelled,False,180,135,312.77,42223.95,14808.51,Fog,5.0,True,True,False,On-Time / Early,ORD-MIA,5,May,Saturday,True,2,0.75,0.1956,27415.439999999995,True
FL101181,2025-04-30,Horizon Airways,HO755,MIA,JFK,1091.0,Airbus A320,2025-04-30 14:45:00,2025-04-30 14:47:00,2025-04-30 17:14:00,2025-04-30 17:10:00,2.0,-4.0,No Delay,False,Not Cancelled,False,180,180,304.5,54810.0,11789.05,Clear,2.0,True,True,False,Minor Delay,MIA-JFK,4,April,Wednesday,False,2,1.0,0.2791,43020.95,True
FL106431,2025-06-23,Coastal Express,CO375,MIA,DEN,1708.0,Boeing 737,2025-06-23 13:15:00,2025-06-23 13:29:00,2025-06-23 17:12:00,2025-06-23 17:35:00,14.0,23.0,Weather,False,Not Cancelled,False,180,147,371.96,54678.12,19628.27,Fog,4.0,True,True,True,Minor Delay,MIA-DEN,6,June,Monday,False,2,0.817,0.1778,35049.850000000006,True
FL106113,2025-02-07,Horizon Airways,HO959,LAX,ORD,1742.0,Boeing 787,2025-02-07 22:30:00,2025-02-07 22:53:00,2025-02-08 02:31:00,2025-02-08 02:59:00,23.0,28.0,Airline Operations,False,Not Cancelled,False,250,184,340.23,62602.32,19241.4,Snow,4.0,True,True,True,Moderate Delay,LAX-ORD,2,February,Friday,False,1,0.736,0.1437,43360.92,False
FL109823,2025-04-21,Horizon Airways,HO278,LAX,BOS,2605.0,Boeing 787,2025-04-21 11:45:00,2025-04-21 11:47:00,2025-04-21 17:45:00,2025-04-21 17:41:00,2.0,-4.0,No Delay,False,Not Cancelled,False,140,131,441.94,57894.14,27637.18,Clear,2.0,True,True,False,Minor Delay,LAX-BOS,4,April,Monday,False,2,0.936,0.1587,30256.96,True
FL107744,2025-02-15,Summit Airlines,SU318,ATL,BOS,945.0,Embraer E190,2025-02-15 09:45:00,2025-02-15 09:58:00,2025-02-15 12:03:00,2025-02-15 12:10:00,13.0,7.0,Air Traffic Control,False,Not Cancelled,False,140,119,271.93,32359.67,9172.63,Clear,3.0,True,True,True,Minor Delay,ATL-BOS,2,February,Saturday,True,1,0.85,0.2446,23187.04,True
FL108611,2025-08-07,Skylink Air,SK385,JFK,MIA,1091.0,Boeing 787,2025-08-07 09:30:00,,2025-08-07 12:06:00,,,,No Delay,True,Weather,False,250,0,318.87,0.0,10723.81,Clear,,False,False,False,Cancelled,JFK-MIA,8,August,Thursday,False,3,0.0,0.0,-10723.81,False
FL102798,2025-12-15,Coastal Express,CO952,DFW,SEA,1658.0,Boeing 737,2025-12-15 11:15:00,2025-12-15 11:30:00,2025-12-15 14:51:00,2025-12-15 14:59:00,15.0,8.0,Security,False,Not Cancelled,False,140,111,321.48,35684.28,16517.13,Storm,,True,False,True,Minor Delay,DFW-SEA,12,December,Monday,False,4,0.793,0.1537,19167.149999999998,True
FL108143,2025-09-15,Falcon Jet,FA425,SEA,JFK,2415.0,Boeing 787,2025-09-15 13:30:00,2025-09-15 13:30:00,2025-09-15 19:02:00,2025-09-15 19:10:00,0.0,8.0,No Delay,False,Not Cancelled,False,140,107,506.86,54234.02,32198.0,Clear,,True,False,False,On-Time / Early,SEA-JFK,9,September,Monday,False,3,0.764,0.1604,22036.019999999997,True
FL109182,2025-05-06,Bluewing Airlines,BL229,ATL,JFK,759.0,Embraer E190,2025-05-06 17:30:00,2025-05-06 19:15:00,2025-05-06 19:05:00,2025-05-06 20:54:00,105.0,109.0,Late Aircraft Arrival,False,Not Cancelled,False,250,231,339.47,78417.57,9993.59,Snow,2.0,True,True,True,Severe Delay,ATL-JFK,5,May,Tuesday,False,2,0.924,0.4133,68423.98000000001,False
FL109765,2025-10-12,Horizon Airways,HO699,DEN,ATL,1197.0,Boeing 737,2025-10-12 21:30:00,2025-10-12 22:56:00,2025-10-13 00:21:00,2025-10-13 01:55:00,86.0,94.0,Air Traffic Control,False,Not Cancelled,False,250,209,288.43,60281.87,15271.9,Clear,4.0,True,True,True,Severe Delay,DEN-ATL,10,October,Sunday,True,4,0.836,0.2014,45009.97,False
FL109556,2025-11-05,Summit Airlines,SU775,DFW,SEA,1658.0,Airbus A320,2025-11-05 13:45:00,2025-11-05 13:42:00,2025-11-05 17:20:00,2025-11-05 17:19:00,-3.0,-1.0,No Delay,False,Not Cancelled,False,140,120,359.59,43150.8,20477.74,Clear,2.0,True,True,False,On-Time / Early,DFW-SEA,11,November,Wednesday,False,4,0.857,0.1859,22673.06,True
